Crew_ID,Crew_Name,Num
638,Michael Mann,8
1213,James Newton Howard,8
1352969,Wylie Stateman,7
6410,Francine Maisler,7
3965,Deborah Aquila,7
2236,Tim Bevan,6
76624,Shane Carruth,6
108,Peter Jackson,6
13585,Nancy Nayor,6
37710,Peter Hyams,6
8858,Ivan Reitman,6
2952,Avy Kaufman,6
3184,Clayton Townsend,6
1484501,Beverley Freeman,6
4504,Roger Birnbaum,5
460,Tom Stern,5
2199,Scott Frank,5
59,Luc Besson,5
14712,Randy Edelman,5
33008,Menahem Golan,5
6159,Ron Howard,5
1399141,Michael Minkler,5
5382,Stacey Sher,5
212137,Michael Waxman,5
1034748,Tricia Wood,5
138,Quentin Tarantino,5
143593,Xavier Dolan,5
5912,Graeme Revell,5
52358,Boaz Yakin,5
117,Howard Shore,5
19769,David Ayer,5
20629,George Miller,5
4501,Dean Semler,5
141696,Hari,5
548439,James Moriana,5
19155,Christopher Young,5
548445,Jeffrey Wilhoit,5
1424894,Camille Friend,5
1404244,John Marzano,5
15017,Bill Corso,5
2238,Eric Fellner,5
11098,John Powell,5
19303,Kevin Smith,4
2460,Randall Wallace,4
1405232,Laura Harris Atkinson,4
6347,Margery Simkin,4
16848,Rob Zombie,4
3986,Mario Kassar,4
7767,Sam Peckinpah,4
1098,Mark Helfrich,4
406204,Ve Neill,4
18889,Mic Rodgers,4
1447357,Rick Maki,4
5328,Kerry Barden,4
6729,Robert Benton,4
5381,Michael Shamberg,4
151,Roger Deakins,4
131413,Mike Gunther,4
3193,Scott Martin Gershin,4
27226,Patrick Lussier,4
1602319,Vanessa Baker,4
16731,Paula Weinstein,4
33009,Yoram Globus,4
1551,Philip Glass,4
1760,Jerry Goldsmith,4
608,Hayao Miyazaki,4
4507,Gary Barber,4
5575,Akiva Goldsman,4
1386920,Andrew Cooper,4
1927,Blake Edwards,4
1387183,John C. Stuver,4
1307,Bob Weinstein,4
947,Hans Zimmer,4
339,Brian Grazer,4
1938,Henry Mancini,4
1997,Charles Leavitt,4
1255,David Mamet,4
23486,Christophe Beck,4
1223,Joel Coen,4
1341865,Ana Maria Quintana,4
1049456,Ben Wilkins,4
12948,Conrad E. Palmisano,4
1399071,Hans Bjerno,4
9651,Craig Berkey,4
59839,Harvey Weinstein,4
11508,Dan Webster,4
1406826,Hector C. Gika,4
