,id,belongs_to_collection_True,budget,language_enc,popularity,year,month,count_genre,count_country,count_company,count_splang,count_cast,count_crew,count_staff,count_keyword,castWt,prodcoWt,keywordWt,crewWt,teamWt,inEnglish
1801,1802,0,3500000,0,0.556435,1998,11,1,1,1,1,11,2,13,2,269,9,27,35,313,1
1190,1191,0,0,0,2.087446,1985,1,2,1,2,3,7,13,20,7,163,22,126,316,501,1
1817,1818,0,2000000,5,1.188935,2003,5,3,1,1,1,3,1,4,1,59,2,9,13,74,1
251,252,0,98000000,0,7.284477000000001,1995,12,2,4,4,2,31,16,47,6,693,49,105,304,1046,1
2505,2506,1,0,0,1.218959,2010,2,4,1,1,1,7,2,9,0,129,5,0,25,159,0
1117,1118,0,40000000,0,12.520688,2001,11,2,1,1,1,19,14,33,13,412,0,274,284,696,1
1411,1412,0,13000000,0,8.611077,2013,3,2,1,6,1,11,15,26,12,253,103,205,304,660,1
2113,2114,0,9000000,0,6.842274000000001,1976,6,4,1,1,1,19,26,45,15,423,5,300,580,1008,1
408,409,1,10000000,0,15.109260999999998,1989,2,3,1,1,4,22,12,34,16,430,0,295,245,675,1
2579,2580,1,20000000,0,9.704289,2005,2,4,1,4,3,17,47,64,6,414,69,103,1086,1569,1
2254,2255,0,11000000,4,7.250134,2008,1,1,1,9,1,15,21,36,15,281,120,256,435,836,0
52,53,0,0,0,1.012665,1980,6,2,1,1,1,13,7,20,5,222,7,78,150,379,1
644,645,0,0,14,7.8435619999999995,1952,10,1,1,1,1,39,7,46,13,794,8,223,108,910,0
1763,1764,0,250000,0,8.168455999999999,1921,1,2,1,2,1,35,12,47,14,821,18,282,277,1116,0
2776,2777,0,20000000,0,14.810519000000001,1995,9,4,1,2,4,25,29,54,15,523,27,251,630,1180,1
900,901,0,20000000,0,11.112153,2012,4,2,1,6,2,22,20,42,3,480,92,44,476,1048,1
1073,1074,0,4500000,0,8.786269,2010,9,3,1,3,2,9,3,12,4,170,60,70,58,288,1
472,473,0,19000000,0,8.560694,1991,2,3,1,1,2,15,54,69,3,308,0,56,1318,1626,1
2738,2739,1,120000000,0,10.901602,2001,6,4,1,2,3,15,68,83,5,299,4,95,1764,2067,1
2546,2547,1,18000000,0,6.197298,1984,5,4,1,1,2,18,12,30,0,291,0,0,189,480,1
44,45,0,15000000,0,5.615303,2005,2,2,1,3,1,10,12,22,6,184,36,116,196,416,1
289,290,0,28000000,0,13.856198999999998,1994,3,4,2,2,1,16,14,30,1,342,29,21,295,666,1
912,913,0,25000000,0,11.829231,2013,7,2,3,5,3,13,2,15,5,272,66,85,35,373,1
2083,2084,0,0,2,1.95315,2008,1,2,1,1,1,9,2,11,0,237,3,0,42,282,0
1360,1361,0,0,0,3.985291,2012,5,3,1,1,1,7,2,9,1,118,4,20,36,158,1
2895,2896,0,68000000,0,14.741992000000002,2001,7,3,2,3,2,24,13,37,11,563,31,250,252,846,1
2603,2604,1,70000000,0,15.57784,1997,11,3,1,2,1,25,91,116,21,512,27,450,2407,2946,1
1226,1227,0,28000000,0,6.062425,2011,9,2,1,1,2,12,5,17,5,260,3,101,106,369,1
296,297,0,60000000,0,4.924078,2002,2,1,2,6,2,23,67,90,9,470,78,151,1430,1978,1
1241,1242,1,13800000,0,11.613655,1986,10,1,1,2,2,49,7,56,5,1135,24,63,135,1294,1
1005,1006,0,73000000,0,8.884406,1999,11,4,1,2,1,21,120,141,3,445,11,36,2789,3245,1
1665,1666,0,16400000,0,19.905716,1989,6,1,1,2,1,15,11,26,8,276,26,109,156,458,1
746,747,0,50000,0,11.329733000000001,2007,2,4,1,0,1,10,3,13,1,203,0,2,67,270,1
2851,2852,0,40000000,0,9.802889,1985,12,2,1,4,1,15,49,64,18,308,47,335,949,1304,1
291,292,0,16000000,0,12.153493,2007,3,3,1,2,1,36,15,51,7,683,10,134,260,953,1
781,782,0,13000000,0,4.654312,2016,2,2,1,2,1,40,57,97,4,989,29,69,1367,2385,1
2144,2145,0,0,0,1.797462,1996,3,3,1,2,1,35,75,110,24,707,40,445,1687,2434,1
322,323,0,135000000,0,23.501228,2015,12,4,4,9,2,19,124,143,20,449,156,391,3193,3798,1
298,299,0,3000000,0,1.739182,1991,2,1,1,2,2,7,15,22,0,167,26,0,356,549,1
1298,1299,0,0,0,10.754614,1998,1,3,1,2,1,25,8,33,8,500,15,131,179,694,1
194,195,0,4500000,0,3.3113919999999997,2009,10,2,1,1,1,12,5,17,2,238,6,16,92,336,1
63,64,1,5000000,0,7.743144,1989,7,2,1,3,1,16,7,23,10,335,37,151,142,514,1
393,394,1,60000000,0,7.898202,1996,11,2,1,2,1,20,12,32,8,388,13,105,225,626,1
727,728,0,30000000,0,9.058516000000001,2007,6,3,1,2,1,37,17,54,10,782,5,190,311,1098,1
1583,1584,0,9000000,0,6.484495,1986,11,2,1,2,1,16,31,47,6,323,16,103,749,1088,1
1547,1548,0,90000000,0,11.605735000000001,2003,11,5,1,3,1,25,12,37,7,580,33,127,272,885,1
2425,2426,1,0,0,5.952392,1987,4,2,1,1,1,23,6,29,5,493,10,98,149,652,1
14,15,0,102000000,0,20.666063,2002,6,4,1,7,2,23,156,179,9,378,94,160,3620,4092,1
2567,2568,0,11000000,1,1.812728,2015,5,2,1,1,1,10,6,16,0,237,17,0,121,375,0
1600,1601,0,50000000,0,6.496271,2004,1,2,1,3,1,15,12,27,20,257,74,356,251,582,1
1090,1091,0,15000000,0,14.14078,2015,1,2,1,4,1,11,60,71,19,273,69,346,1281,1623,1
2111,2112,1,135000000,0,12.130127,1999,11,3,2,2,2,20,29,49,6,385,31,102,664,1080,1
203,204,0,75000000,0,14.302910999999998,2007,7,3,1,2,1,21,66,87,20,388,11,351,1716,2115,1
2418,2419,1,35000000,0,13.492845,1995,7,3,1,1,1,53,43,96,15,1188,5,250,1066,2259,1
152,153,0,0,0,3.520171,1988,1,3,1,0,1,5,8,13,2,67,0,18,118,185,1
2901,2902,0,75000000,0,9.883727,1991,5,5,1,3,1,18,93,111,13,353,21,190,2275,2649,1
1359,1360,0,11000000,0,9.003792,2013,9,2,1,9,1,19,50,69,2,428,150,33,1249,1827,1
