,id,belongs_to_collection_True,budget,language_enc,popularity,year,month,count_genre,count_country,count_company,count_splang,count_cast,count_crew,count_staff,count_keyword,castWt,prodcoWt,keywordWt,crewWt,teamWt,inEnglish
2922,2923,0,0,0,4.755758999999999,2004,7,3,2,4,1,31,7,38,18,761,42,312,136,939,1
340,341,0,0,0,11.576578,2014,9,1,1,2,1,23,4,27,2,561,26,33,74,661,1
1099,1100,0,15000000,0,3.9698599999999997,1989,1,1,1,2,2,7,4,11,4,107,26,61,81,214,1
1543,1544,0,0,0,9.904821,1991,5,3,1,1,1,13,2,15,3,209,0,55,29,238,1
748,749,1,0,0,4.725759,2012,11,2,1,1,1,7,11,18,6,130,15,134,188,333,1
2755,2756,0,40000000,0,4.985157,1994,6,2,2,2,2,12,6,18,9,220,28,157,97,345,1
662,663,0,15000000,0,14.511442,2009,9,1,1,7,1,20,2,22,4,471,122,72,41,634,1
480,481,0,0,0,0.18271700000000002,1954,2,1,1,1,1,12,2,14,1,223,0,7,46,269,1
2138,2139,1,1700000,0,12.843375,1972,6,2,1,2,1,29,8,37,7,750,22,112,162,934,1
871,872,1,0,17,6.065049,2009,11,2,1,1,1,15,2,17,0,266,17,0,40,323,0
1453,1454,0,0,12,0.66989,2015,2,2,1,1,1,9,5,14,0,212,15,0,121,348,0
2952,2953,0,25000000,0,10.542026,2015,4,3,1,3,1,35,22,57,4,822,30,76,475,1327,1
549,550,1,0,0,0.769595,2005,9,1,1,0,1,4,1,5,3,117,0,49,15,132,1
2020,2021,0,0,0,5.993691,2007,9,3,1,3,1,16,24,40,25,292,31,484,561,884,1
2708,2709,0,0,0,7.1601490000000005,1995,11,1,2,3,1,13,3,16,1,291,49,8,42,382,1
742,743,0,967686,0,11.934045,2010,5,3,1,4,3,20,13,33,2,465,55,31,314,834,1
2415,2416,0,0,0,10.597116,1993,4,3,1,2,2,27,10,37,3,613,24,52,199,836,1
2637,2638,0,0,0,0.9204690000000001,1998,10,2,1,2,1,15,11,26,6,419,29,91,303,751,1
2566,2567,0,6000000,0,5.598338,2008,7,1,1,2,1,15,7,22,3,322,36,50,171,529,1
2292,2293,0,0,12,0.43602799999999997,2009,10,3,1,3,1,5,4,9,0,124,49,0,119,292,0
1909,1910,0,0,0,6.1220669999999995,1997,1,5,1,1,1,10,16,26,7,199,1,103,331,531,1
790,791,0,1300000,0,5.184012999999999,1971,1,3,1,2,1,19,13,32,5,405,15,84,299,719,1
2120,2121,0,12000000,0,11.110375999999999,1960,10,3,1,2,1,117,44,161,11,2576,9,182,998,3583,1
1446,1447,0,0,0,2.8216080000000003,1988,8,1,1,2,1,8,2,10,3,126,24,34,37,187,1
247,248,0,18339750,17,7.692239999999999,2004,9,3,3,7,3,62,59,121,21,1347,113,280,1401,2861,0
829,830,0,500000,0,0.892007,2009,1,3,0,0,1,5,2,7,0,112,0,0,40,152,1
1124,1125,1,105000000,0,20.151037,2016,6,4,1,2,1,23,6,29,9,527,27,168,123,677,1
2720,2721,1,8045760,0,10.357224,1989,3,3,1,2,1,15,3,18,1,282,20,16,68,370,1
626,627,0,0,0,4.379054,1993,3,2,1,2,1,8,9,17,6,171,25,111,142,338,1
347,348,0,12,0,1.4103219999999999,1996,10,5,1,1,3,24,8,32,0,483,12,0,136,631,1
278,279,0,0,0,2.523707,2016,9,1,1,3,1,18,7,25,6,429,39,96,184,652,1
1783,1784,1,97000000,0,54.581996999999994,2017,2,3,1,4,2,0,0,0,16,0,38,342,0,38,1
2280,2281,0,17000000,0,5.498819,2011,10,3,1,5,1,15,67,82,1,289,93,9,1674,2056,1
655,656,0,25000000,0,7.438934,1994,10,3,1,2,1,13,12,25,6,236,9,112,175,420,1
1213,1214,0,0,0,7.938629,2002,10,2,1,0,1,58,1,59,2,1377,0,34,13,1390,1
838,839,0,0,0,7.464981,2006,8,3,1,1,1,8,3,11,8,140,5,122,47,192,1
2624,2625,0,5000000,0,36.894806,2017,2,3,1,3,1,35,75,110,12,892,61,197,2011,2964,1
2588,2589,0,1350000,0,4.60786,1998,3,2,1,5,1,27,12,39,19,566,70,385,234,870,1
2350,2351,0,23000000,0,7.06088,2006,8,1,1,2,1,33,35,68,6,756,9,97,913,1678,1
1709,1710,0,45000000,0,9.875573,2005,5,3,1,1,2,20,27,47,5,377,0,73,601,978,1
2023,2024,0,0,0,5.3255300000000005,2003,9,2,1,1,1,24,15,39,16,378,1,219,194,573,1
976,977,0,80000000,0,9.034884,2000,11,2,1,5,1,13,34,47,5,259,49,63,773,1081,1
445,446,0,0,0,1.693701,1988,10,2,0,2,1,19,3,22,2,425,29,38,70,524,1
617,618,1,35000000,0,10.378902,1993,6,2,1,3,1,7,39,46,1,119,49,6,816,984,1
1474,1475,0,3705538,0,7.404329,1992,9,4,3,6,1,18,8,26,10,454,80,141,106,640,1
1778,1779,0,35000000,0,6.966505000000001,2014,3,4,1,5,1,57,50,107,2,1441,62,38,1129,2632,1
2517,2518,1,97250400,4,9.671944,2008,1,4,5,12,2,26,23,49,11,648,222,148,525,1395,0
1244,1245,1,21000000,0,13.217421,2002,10,3,2,4,3,14,24,38,4,300,73,70,524,897,1
2995,2996,0,0,0,9.85327,1994,4,2,1,2,1,15,17,32,19,259,18,330,302,579,1
2552,2553,0,80000000,0,11.054250999999999,1996,11,5,1,3,1,28,116,144,14,561,56,316,3036,3653,1
547,548,0,3500000,0,5.732016000000001,1990,5,4,1,3,1,21,23,44,13,375,38,238,506,919,1
2210,2211,0,0,0,7.696022999999999,2006,3,1,1,4,1,8,2,10,7,151,51,115,36,238,0
1623,1624,0,0,4,4.071187,1955,4,3,1,3,3,22,31,53,11,521,34,254,598,1153,1
263,264,0,10000000,0,2.8497790000000003,1987,11,1,1,2,1,17,15,32,6,376,14,84,351,741,1
1397,1398,0,62000000,0,10.618141,1997,9,2,2,2,1,15,34,49,20,324,26,370,695,1045,1
2353,2354,0,8376800,1,12.237488,2008,2,5,1,2,2,9,10,19,13,227,20,262,253,500,0
1815,1816,0,48000000,0,8.338222,2000,12,3,2,5,2,29,25,54,10,529,89,157,512,1130,1
353,354,0,7000000,0,2.483032,2001,11,2,1,1,1,9,2,11,10,184,9,206,41,234,1
1075,1076,1,800000,26,7.9747259999999995,2009,1,2,1,7,1,10,28,38,4,273,180,60,858,1311,0
208,209,0,0,0,8.096719,1994,4,3,3,3,2,11,14,25,5,250,70,62,284,604,1
613,614,0,17000000,0,5.924226,2004,1,2,1,1,1,11,3,14,4,205,0,81,73,278,1
2090,2091,0,10000000,0,1.1458059999999999,1993,10,3,1,1,2,12,3,15,5,269,6,72,56,331,1
2099,2100,1,550000,0,12.146747,1980,5,1,1,3,1,23,22,45,15,469,45,271,506,1020,1
1498,1499,1,65000000,0,0.948759,2012,9,3,4,1,1,26,19,45,13,532,4,335,348,884,1
1135,1136,1,26000000,0,6.8666339999999995,1994,11,3,3,4,1,8,5,13,5,179,57,75,103,339,1
2880,2881,0,150000000,0,9.920223,2013,6,3,1,4,1,21,22,43,4,412,63,51,374,849,1
2078,2079,0,17000000,0,7.290872,1987,3,3,1,4,2,17,42,59,15,317,60,218,1079,1456,1
57,58,1,125000000,0,17.038823999999998,1997,6,3,2,2,1,14,105,119,9,257,29,164,2785,3071,1
2483,2484,0,0,0,6.114898,2014,6,2,1,4,1,5,22,27,6,124,63,106,490,677,1
811,812,0,0,0,5.50751,1985,8,1,1,2,1,4,2,6,4,67,36,88,29,132,1
2195,2196,0,0,0,0.8762969999999999,1988,9,3,2,5,2,13,14,27,12,307,74,243,362,743,1
561,562,0,0,0,12.34835,2013,8,1,1,2,1,56,17,73,13,1174,41,195,422,1637,1
2943,2944,0,38000000,0,13.217623000000001,1996,4,3,1,2,1,15,55,70,7,261,13,99,1334,1608,1
229,230,0,14000000,0,1.596058,1995,3,2,1,2,1,14,4,18,5,246,29,77,80,355,1
2509,2510,0,8000000,0,6.712894,2010,6,2,2,7,1,14,11,25,15,261,124,253,239,624,1
1721,1722,0,94000000,0,5.310558,2001,4,1,3,4,3,17,9,26,5,339,40,82,228,607,1
2179,2180,0,72000000,0,9.807552000000001,2001,10,3,1,1,1,11,15,26,2,168,0,20,232,400,1
1450,1451,0,60000000,0,8.905732,2009,4,1,3,5,2,22,25,47,16,475,71,252,519,1065,1
1234,1235,0,28000000,0,11.476443,2005,9,3,2,5,2,45,65,110,12,927,50,217,1363,2340,1
1071,1072,0,0,11,8.461631,2001,7,2,2,2,4,13,8,21,6,323,29,87,159,511,0
2849,2850,0,15000000,12,2.587727,2008,12,2,1,1,1,15,4,19,2,242,7,22,83,332,0
1037,1038,0,30000000,0,8.599342,2006,12,3,2,1,1,25,12,37,4,554,8,49,211,773,1
889,890,0,0,0,1.818561,2002,1,2,2,6,1,23,59,82,4,555,83,47,1389,2027,1
1053,1054,0,0,8,0.044048000000000004,2004,6,1,1,1,1,17,10,27,3,482,19,55,254,755,0
707,708,0,0,0,9.197511,2014,2,2,1,3,1,17,16,33,1,375,83,20,400,858,1
424,425,0,9000000,0,1.1399489999999999,2007,11,2,1,0,1,8,2,10,1,163,0,9,37,200,1
69,70,1,85000000,0,2.238808,2006,6,4,2,1,2,56,57,113,9,1542,0,190,1387,2929,1
