,id,belongs_to_collection_True,budget,language_enc,popularity,status_Released,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,count_genre,count_country,count_company,count_splang,count_cast,count_crew,count_staff,count_keyword,castWt,prodcoWt,keywordWt,crewWt,teamWt,inEnglish,revenue,log_budget,log_revenue
0,1,1,14000000,0,6.575392999999999,1,2015,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,24,72,96,4,597,19,80,1930,2546,1,12314651,7.146128035678238,7.090422108345491
1,2,1,40000000,0,8.248895,1,2004,8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,1,1,1,20,9,29,4,385,0,53,158,543,1,95149435,7.6020599913279625,7.978406213777944
2,3,0,3300000,0,64.29999000000001,1,2014,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,51,64,115,12,1270,38,234,1669,2977,1,13092000,6.518513939877887,7.1170059966359664
3,4,0,1200000,1,3.174936,1,2012,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,7,3,10,7,151,0,115,51,202,1,16000000,6.079181246047625,7.204119982655925
4,5,0,0,2,1.1480700000000001,1,2009,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,4,2,6,0,80,0,0,47,127,0,3923970,0.0,6.5937256784010145
5,6,0,8000000,0,0.743274,1,1987,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,11,15,0,66,0,0,284,350,1,3261638,6.903089986991944,6.5134357582595825
6,7,0,14000000,0,7.2864770000000005,1,2012,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,2,1,14,77,91,0,363,27,0,1998,2388,1,85446075,7.146128035678238,7.931692118022329
7,8,0,0,0,1.9490439999999998,1,2004,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,5,7,104,0,121,23,127,1,2586511,0.0,6.4127143297310445
8,9,1,0,0,6.902423,1,1996,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1,3,1,12,8,20,4,251,24,51,189,464,1,34327391,0.0,7.535640796802943
9,10,0,6000000,0,4.672036,1,2003,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,20,11,31,2,369,0,23,242,611,1,18750246,6.778151250383644,7.273006969969962
