,Actor_ID,Actor_Name,numtimesDS,actorWt
38689,2,Mark Hamill,34,1.0
37847,2231,Samuel L. Jackson,30,0.8823529411764706
38554,380,Robert De Niro,30,0.8823529411764706
38691,0,name,29,0.8529411764705882
38625,192,Morgan Freeman,27,0.7941176470588235
38660,62,Bruce Willis,25,0.7352941176470589
37249,3896,Liam Neeson,25,0.7352941176470589
33565,18999,J.K. Simmons,25,0.7352941176470589
37203,4038,Susan Sarandon,25,0.7352941176470589
38200,1241,John Turturro,24,0.7058823529411765
34478,14888,Bruce McGill,24,0.7058823529411765
36859,5293,Willem Dafoe,23,0.6764705882352942
37871,2178,Forest Whitaker,23,0.6764705882352942
38342,887,Owen Wilson,22,0.6470588235294118
37565,2963,Nicolas Cage,22,0.6470588235294118
38135,1532,Bill Murray,22,0.6470588235294118
27404,65827,Keith David,21,0.6176470588235294
37757,2461,Mel Gibson,21,0.6176470588235294
35573,10205,Sigourney Weaver,21,0.6176470588235294
38209,1230,John Goodman,21,0.6176470588235294
34115,16483,Sylvester Stallone,21,0.6176470588235294
38311,976,Jason Statham,21,0.6176470588235294
38607,228,Ed Harris,20,0.5882352941176471
36860,5292,Denzel Washington,20,0.5882352941176471
38153,1461,George Clooney,20,0.5882352941176471
36638,6065,Dennis Quaid,20,0.5882352941176471
32137,28633,Richard Jenkins,20,0.5882352941176471
38009,1892,Matt Damon,20,0.5882352941176471
34251,15831,Frank Welker,20,0.5882352941176471
37250,3895,Michael Caine,20,0.5882352941176471
37502,3087,Robert Duvall,20,0.5882352941176471
38547,388,Jim Broadbent,19,0.5588235294117647
38575,290,Christopher Plummer,19,0.5588235294117647
37251,3894,Christian Bale,19,0.5588235294117647
36998,4764,John C. Reilly,19,0.5588235294117647
37022,4724,Kevin Bacon,19,0.5588235294117647
33974,17051,James Franco,19,0.5588235294117647
38624,193,Gene Hackman,19,0.5588235294117647
36245,7447,Alec Baldwin,19,0.5588235294117647
37243,3905,William H. Macy,19,0.5588235294117647
37029,4690,Christopher Walken,19,0.5588235294117647
38344,884,Steve Buscemi,18,0.5294117647058824
38674,31,Tom Hanks,18,0.5294117647058824
38678,19,Allison Janney,18,0.5294117647058824
34832,13240,Mark Wahlberg,18,0.5294117647058824
37442,3223,Robert Downey Jr.,18,0.5294117647058824
38208,1231,Julianne Moore,18,0.5294117647058824
36724,5723,John Leguizamo,18,0.5294117647058824
38194,1248,Brian Cox,18,0.5294117647058824
35268,11159,Cheech Marin,17,0.5
38221,1204,Julia Roberts,17,0.5
38688,3,Harrison Ford,17,0.5
33804,17832,Carla Gugino,17,0.5
35202,11477,Ray Liotta,17,0.5
34843,13023,Colleen Camp,17,0.5
37532,3036,John Cusack,17,0.5
37816,2283,Stanley Tucci,17,0.5
37849,2229,Catherine Keener,17,0.5
38206,1233,Philip Seymour Hoffman,17,0.5
29837,51329,Bradley Cooper,17,0.5
38645,112,Cate Blanchett,17,0.5
38474,569,Ethan Hawke,17,0.5
34524,14721,Kevin Dunn,17,0.5
36910,5049,John Hurt,16,0.47058823529411764
37516,3061,Ewan McGregor,16,0.47058823529411764
5033,1584544,Philip Ettington,16,0.47058823529411764
38566,335,Michael Shannon,16,0.47058823529411764
37628,2778,Dennis Hopper,16,0.47058823529411764
37058,4512,James Woods,16,0.47058823529411764
36905,5064,Meryl Streep,16,0.47058823529411764
36947,4937,Vince Vaughn,16,0.47058823529411764
38498,518,Danny DeVito,16,0.47058823529411764
38398,738,Sean Connery,16,0.47058823529411764
38655,85,Johnny Depp,16,0.47058823529411764
32813,23532,Jason Bateman,16,0.47058823529411764
38265,1100,Arnold Schwarzenegger,16,0.47058823529411764
38663,53,Peter Stormare,16,0.47058823529411764
37882,2157,Robin Williams,16,0.47058823529411764
38347,880,Ben Affleck,16,0.47058823529411764
36558,6384,Keanu Reeves,16,0.47058823529411764
37949,2039,Brendan Gleeson,16,0.47058823529411764
32134,28638,David Koechner,16,0.47058823529411764
38382,776,Eddie Murphy,15,0.4411764705882353
37788,2387,Patrick Stewart,15,0.4411764705882353
36255,7399,Ben Stiller,15,0.4411764705882353
38618,205,Kirsten Dunst,15,0.4411764705882353
34431,15033,Justin Long,15,0.4411764705882353
38066,1736,James Remar,15,0.4411764705882353
38658,64,Gary Oldman,15,0.4411764705882353
33133,21007,Jonah Hill,15,0.4411764705882353
38616,207,Tom Wilkinson,15,0.4411764705882353
38508,500,Tom Cruise,15,0.4411764705882353
38577,287,Brad Pitt,15,0.4411764705882353
33584,18918,Dwayne Johnson,15,0.4411764705882353
38285,1037,Harvey Keitel,15,0.4411764705882353
37850,2228,Sean Penn,15,0.4411764705882353
36002,8534,Kathy Bates,15,0.4411764705882353
35765,9281,Elizabeth Banks,15,0.4411764705882353
38334,934,Russell Crowe,15,0.4411764705882353
34407,15152,James Earl Jones,15,0.4411764705882353
38412,707,Dan Aykroyd,15,0.4411764705882353
37572,2955,Chris Cooper,15,0.4411764705882353
33698,18324,Steve Zahn,15,0.4411764705882353
29069,55636,Donald Sutherland,15,0.4411764705882353
36396,6952,Charlie Sheen,15,0.4411764705882353
36430,6856,Kurt Russell,15,0.4411764705882353
36394,6968,Hugh Jackman,15,0.4411764705882353
33875,17485,Oliver Platt,15,0.4411764705882353
37781,2395,Whoopi Goldberg,15,0.4411764705882353
28765,57755,Woody Harrelson,15,0.4411764705882353
36533,6486,Dan Hedaya,15,0.4411764705882353
37419,3293,Rachel Weisz,14,0.4117647058823529
38069,1733,Nick Nolte,14,0.4117647058823529
37963,1979,Kevin Spacey,14,0.4117647058823529
28396,59315,Olivia Wilde,14,0.4117647058823529
38220,1205,Richard Gere,14,0.4117647058823529
35926,8784,Daniel Craig,14,0.4117647058823529
32131,28641,Terence Stamp,14,0.4117647058823529
26845,72466,Colin Farrell,14,0.4117647058823529
36551,6413,Danny Huston,14,0.4117647058823529
36280,7248,Cliff Curtis,14,0.4117647058823529
36020,8447,Jeff Daniels,14,0.4117647058823529
38210,1229,Jeff Bridges,14,0.4117647058823529
