,id,belongs_to_collection_True,budget,language_enc,popularity,status_Released,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,count_genre,count_country,count_company,count_splang,count_cast,count_crew,count_staff,count_keyword,castWt,prodcoWt,keywordWt,crewWt,teamWt,inEnglish,revenue
0,1,1,14000000,0,6.575392999999999,1,2015,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,24,72,96,4,597,19,80,1930,2546,1,12314651
1,2,1,40000000,0,8.248895,1,2004,8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,1,1,1,20,9,29,4,385,0,53,158,543,1,95149435
2,3,0,3300000,0,64.29999000000001,1,2014,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,51,64,115,12,1270,38,234,1669,2977,1,13092000
3,4,0,1200000,1,3.174936,1,2012,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,7,3,10,7,151,0,115,51,202,1,16000000
4,5,0,0,2,1.1480700000000001,1,2009,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,4,2,6,0,80,0,0,47,127,0,3923970
5,6,0,8000000,0,0.743274,1,1987,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,11,15,0,66,0,0,284,350,1,3261638
6,7,0,14000000,0,7.2864770000000005,1,2012,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,2,1,14,77,91,0,363,27,0,1998,2388,1,85446075
7,8,0,0,0,1.9490439999999998,1,2004,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,5,7,104,0,121,23,127,1,2586511
8,9,1,0,0,6.902423,1,1996,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1,3,1,12,8,20,4,251,24,51,189,464,1,34327391
9,10,0,6000000,0,4.672036,1,2003,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,20,11,31,2,369,0,23,242,611,1,18750246
10,11,1,1000000,0,14.774066,1,1976,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,37,31,68,16,717,0,246,673,1390,1,117235147
11,12,1,0,0,10.54375,1,1987,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,14,2,16,6,267,42,95,32,341,1,22642033
12,13,0,15000000,0,20.726578,1,1999,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,40,109,149,21,785,18,365,2824,3627,1,356296601
13,14,1,53000000,0,13.314232999999998,1,2005,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,59,18,77,8,1461,47,130,315,1823,1,95226116
14,15,0,102000000,0,20.666063,1,2002,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,1,7,2,23,156,179,9,378,94,160,3620,4092,1,358372926
15,16,0,500000,3,1.018477,1,2010,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,13,25,38,2,319,5,36,653,977,0,198
16,17,0,26000000,0,6.336926999999999,1,2005,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,3,2,24,35,59,4,553,29,50,715,1297,1,57891803
17,18,0,0,0,4.1835580000000006,1,2013,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,4,1,19,31,50,2,403,76,41,694,1173,1,1234254
18,19,0,8000000,0,6.496258999999999,1,2011,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,2,23,2,25,7,491,60,139,41,592,1,1749457
19,20,1,32000000,0,11.359658999999999,1,2005,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,7,3,10,17,27,5,228,136,69,315,679,1,85167639
20,21,0,80000000,0,12.000579,1,1998,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,4,1,20,120,140,3,395,44,58,2993,3432,1,136159423
21,22,1,4000000,0,7.99229,1,1982,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,1,16,11,27,9,451,13,188,255,719,1,36690067
22,23,1,0,0,7.820786999999999,1,2012,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,3,1,30,19,49,13,791,48,252,438,1277,1,100345
23,24,0,0,0,1.323333,1,2011,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,1,3,1,19,10,29,0,426,38,0,247,711,1,17011
24,25,0,0,0,7.434577,1,2006,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,3,13,10,23,3,237,24,36,140,401,1,4947717
25,26,0,0,0,1.252367,1,1992,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,2,4,1,15,14,29,0,311,40,0,301,652,1,8403433
